Country,Sport,Gold,Silver,Bronze,Total
United States of America,3x3 Basketball,0,0,1,1
United States of America,Archery,0,1,1,2
United States of America,Artistic Gymnastics,3,1,6,10
United States of America,Artistic Swimming,0,1,0,1
United States of America,Athletics,14,11,9,34
United States of America,Basketball,1,0,0,1
United States of America,Boxing,0,0,1,1
United States of America,Breaking,0,0,1,1
United States of America,Canoe Slalom,0,0,1,1
United States of America,Canoe Sprint,0,1,0,1
United States of America,Cycling BMX Freestyle,0,1,0,1
United States of America,Cycling Mountain Bike,0,1,0,1
United States of America,Cycling Road,1,0,1,2
United States of America,Cycling Track,1,0,0,1
United States of America,Diving,0,1,0,1
United States of America,Equestrian,0,1,0,1
United States of America,Fencing,2,1,1,4
United States of America,Football,1,0,0,1
United States of America,Golf,1,0,0,1
United States of America,Rowing,1,0,1,2
United States of America,Rugby Sevens,0,0,1,1
United States of America,Sailing,0,0,1,1
United States of America,Shooting,1,3,1,5
United States of America,Skateboarding,0,2,1,3
United States of America,Sport Climbing,0,1,1,2
United States of America,Surfing,1,0,0,1
United States of America,Swimming,8,13,7,28
United States of America,Taekwondo,0,0,1,1
United States of America,Tennis,0,1,1,2
United States of America,Triathlon,0,1,0,1
United States of America,Volleyball,0,0,1,1
United States of America,Water Polo,0,0,1,1
United States of America,Weightlifting,1,0,1,2
United States of America,Wrestling,2,1,3,6
People's Republic of China,Archery,0,1,0,1
People's Republic of China,Artistic Gymnastics,2,5,2,9
People's Republic of China,Artistic Swimming,2,0,0,2
People's Republic of China,Athletics,1,1,2,4
People's Republic of China,Badminton,2,3,0,5
People's Republic of China,Boxing,3,2,0,5
People's Republic of China,Breaking,0,0,1,1
People's Republic of China,Canoe Sprint,2,0,0,2
People's Republic of China,Cycling BMX Freestyle,1,0,0,1
People's Republic of China,Diving,8,2,1,11
People's Republic of China,Golf,0,0,1,1
People's Republic of China,Hockey,0,1,0,1
People's Republic of China,Judo,0,0,1,1
People's Republic of China,Rhythmic Gymnastics,1,0,0,1
People's Republic of China,Shooting,5,2,3,10
People's Republic of China,Sport Climbing,0,2,0,2
People's Republic of China,Swimming,2,3,7,12
People's Republic of China,Table Tennis,5,1,0,6
People's Republic of China,Taekwondo,0,1,1,2
People's Republic of China,Tennis,1,1,0,2
People's Republic of China,Trampoline Gymnastics,0,1,1,2
People's Republic of China,Weightlifting,4,0,0,4
People's Republic of China,Wrestling,0,1,4,5
Japan,Artistic Gymnastics,3,0,1,4
Japan,Athletics,1,0,0,1
Japan,Badminton,0,0,2,2
Japan,Breaking,1,0,0,1
Japan,Diving,0,1,0,1
Japan,Equestrian,0,0,1,1
Japan,Fencing,2,1,2,5
Japan,Golf,0,0,1,1
Japan,Judo,3,2,3,8
Japan,Modern Pentathlon,0,1,0,1
Japan,Sailing,0,1,0,1
Japan,Skateboarding,2,2,0,4
Japan,Sport Climbing,0,1,0,1
Japan,Swimming,0,1,0,1
Japan,Table Tennis,0,1,1,2
Japan,Wrestling,8,1,2,11
Australia,Athletics,1,2,4,7
Australia,Basketball,0,0,1,1
Australia,Boxing,0,0,2,2
Australia,Canoe Slalom,3,0,0,3
Australia,Canoe Sprint,0,1,1,2
Australia,Cycling BMX Freestyle,0,0,1,1
Australia,Cycling BMX Racing,1,0,0,1
Australia,Cycling Road,1,0,0,1
Australia,Cycling Track,1,2,2,5
Australia,Diving,0,1,0,1
Australia,Equestrian,0,1,0,1
Australia,Marathon Swimming,0,1,0,1
Australia,Rowing,0,0,1,1
Australia,Sailing,1,1,0,2
Australia,Shooting,0,0,1,1
Australia,Skateboarding,2,0,0,2
Australia,Surfing,0,1,0,1
Australia,Swimming,7,8,3,18
Australia,Tennis,1,0,0,1
Australia,Water Polo,0,1,0,1
France,3x3 Basketball,0,1,0,1
France,Archery,0,1,1,2
France,Athletics,0,1,0,1
France,Basketball,0,2,0,2
France,Boxing,0,2,1,3
France,Breaking,0,1,0,1
France,Canoe Slalom,1,2,0,3
France,Cycling BMX Freestyle,0,0,1,1
France,Cycling BMX Racing,1,1,1,3
France,Cycling Mountain Bike,1,1,0,2
France,Cycling Road,0,1,1,2
France,Cycling Track,1,0,0,1
France,Equestrian,0,1,1,2
France,Fencing,1,4,2,7
France,Football,0,1,0,1
France,Handball,0,1,0,1
France,Judo,2,2,6,10
France,Modern Pentathlon,0,1,0,1
France,Rugby Sevens,1,0,0,1
France,Sailing,0,1,1,2
France,Shooting,0,1,0,1
France,Surfing,1,0,1,2
France,Swimming,4,1,2,7
France,Table Tennis,0,0,2,2
France,Taekwondo,1,0,1,2
France,Triathlon,1,0,1,2
France,Volleyball,1,0,0,1
Netherlands,3x3 Basketball,1,0,0,1
Netherlands,Artistic Swimming,0,0,1,1
Netherlands,Athletics,2,1,3,6
Netherlands,Cycling BMX Racing,0,1,0,1
Netherlands,Cycling Road,0,1,0,1
Netherlands,Cycling Track,3,1,1,5
Netherlands,Equestrian,0,0,1,1
Netherlands,Hockey,2,0,0,2
Netherlands,Marathon Swimming,1,0,0,1
Netherlands,Rowing,4,3,1,8
Netherlands,Sailing,2,0,2,4
Netherlands,Swimming,0,0,2,2
Netherlands,Water Polo,0,0,1,1
Great Britain,Artistic Gymnastics,0,0,2,2
Great Britain,Artistic Swimming,0,1,0,1
Great Britain,Athletics,1,4,5,10
Great Britain,Boxing,0,0,1,1
Great Britain,Canoe Slalom,0,2,2,4
Great Britain,Cycling BMX Freestyle,0,1,0,1
Great Britain,Cycling Mountain Bike,1,0,0,1
Great Britain,Cycling Road,0,1,0,1
Great Britain,Cycling Track,1,3,4,8
Great Britain,Diving,0,1,4,5
Great Britain,Equestrian,2,0,3,5
Great Britain,Golf,0,1,0,1
Great Britain,Rowing,3,2,3,8
Great Britain,Sailing,1,0,1,2
Great Britain,Shooting,1,1,0,2
Great Britain,Skateboarding,0,0,1,1
Great Britain,Sport Climbing,1,0,0,1
Great Britain,Swimming,1,4,0,5
Great Britain,Taekwondo,0,1,0,1
Great Britain,Trampoline Gymnastics,1,0,0,1
Great Britain,Triathlon,1,0,2,3
Great Britain,Weightlifting,0,0,1,1
Republic of Korea,Archery,5,1,1,7
Republic of Korea,Badminton,1,1,0,2
Republic of Korea,Boxing,0,0,1,1
Republic of Korea,Fencing,2,1,0,3
Republic of Korea,Judo,0,2,3,5
Republic of Korea,Modern Pentathlon,0,0,1,1
Republic of Korea,Shooting,3,3,0,6
Republic of Korea,Swimming,0,0,1,1
Republic of Korea,Table Tennis,0,0,2,2
Republic of Korea,Taekwondo,2,0,1,3
Republic of Korea,Weightlifting,0,1,0,1
Italy,Artistic Gymnastics,1,1,1,3
Italy,Athletics,0,1,2,3
Italy,Canoe Slalom,1,0,0,1
Italy,Canoe Sprint,0,1,0,1
Italy,Cycling Road,0,1,0,1
Italy,Cycling Track,1,1,1,3
Italy,Fencing,1,3,1,5
Italy,Judo,1,0,0,1
Italy,Marathon Swimming,0,0,1,1
Italy,Modern Pentathlon,0,0,1,1
Italy,Rhythmic Gymnastics,0,0,2,2
Italy,Rowing,0,2,0,2
Italy,Sailing,2,0,0,2
Italy,Shooting,1,2,1,4
Italy,Swimming,2,1,2,5
Italy,Taekwondo,0,0,1,1
Italy,Tennis,1,0,1,2
Italy,Volleyball,1,0,0,1
Italy,Weightlifting,0,0,1,1
Germany,3x3 Basketball,1,0,0,1
Germany,Archery,0,1,0,1
Germany,Athletics,1,2,1,4
Germany,Beach Volleyball,0,1,0,1
Germany,Boxing,0,0,1,1
Germany,Canoe Slalom,0,1,1,2
Germany,Canoe Sprint,2,1,1,4
Germany,Cycling Track,0,1,1,2
Germany,Equestrian,4,1,0,5
Germany,Football,0,0,1,1
Germany,Golf,0,1,0,1
Germany,Handball,0,1,0,1
Germany,Hockey,0,1,0,1
Germany,Judo,0,1,0,1
Germany,Marathon Swimming,0,1,0,1
Germany,Rhythmic Gymnastics,1,0,0,1
Germany,Rowing,1,0,1,2
Germany,Swimming,1,0,1,2
Germany,Triathlon,1,0,0,1
New Zealand,Athletics,1,1,0,2
New Zealand,Canoe Slalom,1,0,0,1
New Zealand,Canoe Sprint,3,0,0,3
New Zealand,Cycling Track,2,2,1,5
New Zealand,Golf,1,0,0,1
New Zealand,Rowing,1,2,1,4
New Zealand,Rugby Sevens,1,0,0,1
New Zealand,Sailing,0,1,1,2
New Zealand,Triathlon,0,1,0,1
Canada,Athletics,3,1,1,5
Canada,Beach Volleyball,0,1,0,1
Canada,Boxing,0,0,1,1
Canada,Breaking,1,0,0,1
Canada,Canoe Sprint,1,0,1,2
Canada,Diving,0,0,1,1
Canada,Fencing,0,0,1,1
Canada,Judo,1,0,0,1
Canada,Rowing,0,1,0,1
Canada,Rugby Sevens,0,1,0,1
Canada,Swimming,3,2,3,8
Canada,Taekwondo,0,0,1,1
Canada,Tennis,0,0,1,1
Canada,Trampoline Gymnastics,0,0,1,1
Canada,Weightlifting,0,1,0,1
Uzbekistan,Boxing,5,0,0,5
Uzbekistan,Judo,1,0,2,3
Uzbekistan,Taekwondo,1,1,0,2
Uzbekistan,Weightlifting,0,1,0,1
Uzbekistan,Wrestling,1,0,1,2
Hungary,Athletics,0,1,0,1
Hungary,Canoe Sprint,0,4,3,7
Hungary,Fencing,1,1,1,3
Hungary,Marathon Swimming,1,0,1,2
Hungary,Modern Pentathlon,1,0,0,1
Hungary,Shooting,0,0,1,1
Hungary,Swimming,2,1,0,3
Hungary,Taekwondo,1,0,0,1
Spain,3x3 Basketball,0,1,0,1
Spain,Artistic Swimming,0,0,1,1
Spain,Athletics,2,1,1,4
Spain,Boxing,0,1,1,2
Spain,Canoe Slalom,0,0,1,1
Spain,Canoe Sprint,0,0,2,2
Spain,Football,1,0,0,1
Spain,Handball,0,0,1,1
Spain,Judo,0,0,1,1
Spain,Sailing,1,0,0,1
Spain,Tennis,0,1,1,2
Spain,Water Polo,1,0,0,1
Sweden,Athletics,1,0,0,1
Sweden,Beach Volleyball,1,0,0,1
Sweden,Cycling Mountain Bike,0,0,1,1
Sweden,Judo,0,0,1,1
Sweden,Sailing,0,1,1,2
Sweden,Shooting,0,1,0,1
Sweden,Swimming,2,0,0,2
Sweden,Table Tennis,0,2,0,2
Kenya,Athletics,4,2,5,11
Norway,Athletics,2,1,0,3
Norway,Beach Volleyball,0,0,1,1
Norway,Handball,1,0,0,1
Norway,Sailing,0,0,1,1
Norway,Weightlifting,1,0,0,1
Norway,Wrestling,0,0,1,1
Ireland,Artistic Gymnastics,1,0,0,1
Ireland,Boxing,1,0,0,1
Ireland,Rowing,1,0,1,2
Ireland,Swimming,1,0,2,3
Brazil,Artistic Gymnastics,1,2,1,4
Brazil,Athletics,0,1,1,2
Brazil,Beach Volleyball,1,0,0,1
Brazil,Boxing,0,0,1,1
Brazil,Canoe Sprint,0,1,0,1
Brazil,Football,0,1,0,1
Brazil,Judo,1,1,2,4
Brazil,Skateboarding,0,0,2,2
Brazil,Surfing,0,1,1,2
Brazil,Taekwondo,0,0,1,1
Brazil,Volleyball,0,0,1,1
Islamic Republic of  Iran,Taekwondo,1,2,1,4
Islamic Republic of  Iran,Wrestling,2,4,2,8
Ukraine,Artistic Gymnastics,0,1,0,1
Ukraine,Athletics,1,0,2,3
Ukraine,Boxing,1,0,0,1
Ukraine,Canoe Sprint,0,1,0,1
Ukraine,Fencing,1,0,1,2
Ukraine,Shooting,0,1,0,1
Ukraine,Wrestling,0,2,1,3
Romania,Artistic Gymnastics,0,0,1,1
Romania,Rowing,2,3,0,5
Romania,Swimming,1,0,1,2
Romania,Weightlifting,0,1,0,1
Georgia,Boxing,0,0,1,1
Georgia,Judo,1,2,0,3
Georgia,Weightlifting,1,0,0,1
Georgia,Wrestling,1,1,0,2
Belgium,Athletics,1,1,1,3
Belgium,Cycling Road,2,0,2,4
Belgium,Cycling Track,0,0,1,1
Belgium,Judo,0,0,1,1
Belgium,Taekwondo,0,0,1,1
Bulgaria,Boxing,0,0,1,1
Bulgaria,Rhythmic Gymnastics,0,1,0,1
Bulgaria,Taekwondo,0,0,1,1
Bulgaria,Weightlifting,1,0,1,2
Bulgaria,Wrestling,2,0,0,2
Serbia,Basketball,0,0,1,1
Serbia,Shooting,1,0,0,1
Serbia,Taekwondo,0,1,0,1
Serbia,Tennis,1,0,0,1
Serbia,Water Polo,1,0,0,1
Czechia,Athletics,0,0,1,1
Czechia,Canoe Sprint,2,0,0,2
Czechia,Fencing,0,0,1,1
Czechia,Tennis,1,0,0,1
Denmark,Badminton,1,0,0,1
Denmark,Canoe Sprint,0,0,1,1
Denmark,Cycling Track,0,0,1,1
Denmark,Equestrian,0,1,0,1
Denmark,Handball,1,0,1,2
Denmark,Sailing,0,1,0,1
Denmark,Taekwondo,0,0,1,1
Denmark,Wrestling,0,0,1,1
Azerbaijan,Boxing,0,1,0,1
Azerbaijan,Judo,2,0,0,2
Azerbaijan,Taekwondo,0,1,0,1
Azerbaijan,Wrestling,0,0,3,3
Croatia,Athletics,0,0,1,1
Croatia,Judo,1,0,0,1
Croatia,Rowing,1,0,0,1
Croatia,Shooting,0,0,1,1
Croatia,Taekwondo,0,0,1,1
Croatia,Tennis,0,1,0,1
Croatia,Water Polo,0,1,0,1
Cuba,Boxing,1,0,1,2
Cuba,Canoe Sprint,0,0,1,1
Cuba,Taekwondo,0,0,1,1
Cuba,Wrestling,1,1,3,5
Bahrain,Athletics,1,1,0,2
Bahrain,Weightlifting,0,0,1,1
Bahrain,Wrestling,1,0,0,1
Slovenia,Judo,1,0,0,1
Slovenia,Sailing,0,1,0,1
Slovenia,Sport Climbing,1,0,0,1
Chinese Taipei,Artistic Gymnastics,0,0,1,1
Chinese Taipei,Badminton,1,0,0,1
Chinese Taipei,Boxing,1,0,2,3
Chinese Taipei,Shooting,0,0,1,1
Chinese Taipei,Weightlifting,0,0,1,1
Austria,Judo,0,0,1,1
Austria,Sailing,2,0,0,2
Austria,Sport Climbing,0,0,2,2
"Hong Kong, China",Fencing,2,0,0,2
"Hong Kong, China",Swimming,0,0,2,2
Philippines,Artistic Gymnastics,2,0,0,2
Philippines,Boxing,0,0,2,2
Algeria,Artistic Gymnastics,1,0,0,1
Algeria,Athletics,0,0,1,1
Algeria,Boxing,1,0,0,1
Indonesia,Badminton,0,0,1,1
Indonesia,Sport Climbing,1,0,0,1
Indonesia,Weightlifting,1,0,0,1
Israel,Artistic Gymnastics,0,1,0,1
Israel,Judo,0,2,1,3
Israel,Rhythmic Gymnastics,0,1,0,1
Israel,Sailing,1,1,0,2
Poland,Athletics,0,0,1,1
Poland,Boxing,0,1,0,1
Poland,Canoe Slalom,0,1,0,1
Poland,Cycling Track,0,1,0,1
Poland,Fencing,0,0,1,1
Poland,Rowing,0,0,1,1
Poland,Sport Climbing,1,0,1,2
Poland,Tennis,0,0,1,1
Poland,Volleyball,0,1,0,1
Kazakhstan,Artistic Gymnastics,0,1,0,1
Kazakhstan,Boxing,0,1,1,2
Kazakhstan,Judo,1,0,1,2
Kazakhstan,Shooting,0,0,1,1
Kazakhstan,Wrestling,0,1,0,1
Jamaica,Athletics,1,3,2,6
South Africa,Athletics,0,2,0,2
South Africa,Cycling Mountain Bike,0,0,1,1
South Africa,Rugby Sevens,0,0,1,1
South Africa,Swimming,1,1,0,2
Thailand,Badminton,0,1,0,1
Thailand,Boxing,0,0,1,1
Thailand,Taekwondo,1,0,0,1
Thailand,Weightlifting,0,2,1,3
Ethiopia,Athletics,1,3,0,4
Switzerland,Beach Volleyball,0,0,1,1
Switzerland,Cycling BMX Racing,0,0,1,1
Switzerland,Equestrian,0,1,0,1
Switzerland,Rowing,0,0,1,1
Switzerland,Shooting,1,0,1,2
Switzerland,Swimming,0,0,1,1
Switzerland,Triathlon,0,1,0,1
Ecuador,Athletics,1,1,0,2
Ecuador,Weightlifting,0,0,2,2
Ecuador,Wrestling,0,1,0,1
Portugal,Athletics,0,1,0,1
Portugal,Cycling Track,1,1,0,2
Portugal,Judo,0,0,1,1
Greece,Artistic Gymnastics,0,0,1,1
Greece,Athletics,1,0,1,2
Greece,Judo,0,0,1,1
Greece,Rowing,0,0,2,2
Greece,Swimming,0,1,0,1
Greece,Wrestling,0,0,1,1
Argentina,Cycling BMX Freestyle,1,0,0,1
Argentina,Hockey,0,0,1,1
Argentina,Sailing,0,1,0,1
Egypt,Fencing,0,0,1,1
Egypt,Modern Pentathlon,1,0,0,1
Egypt,Weightlifting,0,1,0,1
Tunisia,Fencing,0,1,0,1
Tunisia,Taekwondo,1,0,1,2
Botswana,Athletics,1,1,0,2
Chile,Shooting,1,0,0,1
Chile,Wrestling,0,1,0,1
Saint Lucia,Athletics,1,1,0,2
Uganda,Athletics,1,1,0,2
Dominican Republic,Athletics,1,0,0,1
Dominican Republic,Boxing,0,0,2,2
Guatemala,Shooting,1,0,1,2
Morocco,Athletics,1,0,0,1
Morocco,Football,0,0,1,1
Dominica,Athletics,1,0,0,1
Pakistan,Athletics,1,0,0,1
Türkiye,Archery,0,0,1,1
Türkiye,Boxing,0,2,1,3
Türkiye,Shooting,0,1,0,1
Türkiye,Taekwondo,0,0,1,1
Türkiye,Wrestling,0,0,2,2
Mexico,Archery,0,0,1,1
Mexico,Boxing,0,1,0,1
Mexico,Diving,0,1,1,2
Mexico,Judo,0,1,0,1
Armenia,Artistic Gymnastics,0,1,0,1
Armenia,Weightlifting,0,1,0,1
Armenia,Wrestling,0,1,1,2
Colombia,Artistic Gymnastics,0,1,0,1
Colombia,Weightlifting,0,2,0,2
Colombia,Wrestling,0,0,1,1
Kyrgyzstan,Boxing,0,1,0,1
Kyrgyzstan,Wrestling,0,1,4,5
DPR Korea,Boxing,0,0,1,1
DPR Korea,Diving,0,1,1,2
DPR Korea,Table Tennis,0,1,0,1
DPR Korea,Wrestling,0,0,2,2
Lithuania,3x3 Basketball,0,0,1,1
Lithuania,Athletics,0,1,0,1
Lithuania,Breaking,0,1,0,1
Lithuania,Rowing,0,0,1,1
India,Athletics,0,1,0,1
India,Hockey,0,0,1,1
India,Shooting,0,0,3,3
India,Wrestling,0,0,1,1
Republic of Moldova,Canoe Sprint,0,0,1,1
Republic of Moldova,Judo,0,0,2,2
Republic of Moldova,Wrestling,0,1,0,1
Kosovo,Judo,0,1,1,2
Cyprus,Sailing,0,1,0,1
Fiji,Rugby Sevens,0,1,0,1
Jordan,Taekwondo,0,1,0,1
Mongolia,Judo,0,1,0,1
Panama,Boxing,0,1,0,1
Tajikistan,Boxing,0,0,1,1
Tajikistan,Judo,0,0,2,2
Albania,Wrestling,0,0,2,2
Grenada,Athletics,0,0,2,2
Malaysia,Badminton,0,0,2,2
Puerto Rico,Athletics,0,0,1,1
Puerto Rico,Wrestling,0,0,1,1
Côte d'Ivoire,Taekwondo,0,0,1,1
Cabo Verde,Boxing,0,0,1,1
Refugee Olympic Team (EOR),Boxing,0,0,1,1
Peru,Sailing,0,0,1,1
Qatar,Athletics,0,0,1,1
Singapore,Sailing,0,0,1,1
Slovakia,Canoe Slalom,0,0,1,1
Zambia,Athletics,0,0,1,1
